time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b
0,500,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,2.05380981721093
0.02,500,0,0,0,0,0,0,0.166666662941376,0,0,0,0,0,0,2.05380981721093
0.3533334,500,0,0,0,0,0,0,1.99999995529652,0,0,0,0,0,0,2.05380981721093
0.3888232,500,0,0,0,0,0,0,2.16666661823789,0,0,0,0,0,0,2.05380981721093
0.4186918,500,0,0,0,0,0,0,2.33333328117927,0,0,0,0,0,0,2.05380981721093
0.4238659,500,0,0,0,0,0,0,2.38888883549306,0,0,0,0,0,0,2.05380981721093
0.429495,500,0,0,0,0,0,0,2.38888883549306,0,0,0,0,0,0,2.05380981721093
0.4367353,500,0,0,0,0,0,0,2.44444438980686,0,0,0,0,0,0,2.05380981721093
0.4406878,500,0,0,0,0,0,0,2.49999994412065,0,0,0,0,0,0,2.05380981721093
0.4502234,500,0,0,0,0,0,0,2.55555549843444,0,0,0,0,0,0,2.05380981721093
0.4540205,500,0,0,0,0,0,0,2.55555549843444,0,0,0,0,0,0,2.05380981721093
0.4651257,500,0,0,0,0,0,0,2.61111105274823,0,0,0,0,0,0,2.05380981721093
0.4921623,500,0,0,0,0,0,0,2.77777771568961,0,0,0,0,0,0,2.05380981721093
0.5029162,500,0,0,0,0,0,0,2.8333332700034,0,0,0,0,0,0,2.05380981721093
