time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity
16.494,500,0.361685471826474,9.64479092667167,0.80610655763391,0.849309652571713,-2.41372773424089,-2.48056115548659,68.3116326332351,-3.00835303563391,0.8056575485196,1.109600847195,-0.785295396561013,-0.566618853846069,energy,0.513452454302732,4.16666666666667
16.496,500,0.35951535889244,9.63337352388043,0.804804546452397,0.848330303445929,-2.41211552104905,-2.47886449479911,68.3199595933181,-3.00867889882211,0.804311620432791,1.10831302448797,-0.784071641391759,-0.565973807553123,energy,0.513452454302732,4.16666666666667
16.498,500,0.357358266636629,9.62194712346643,0.803505095880259,0.847351048368331,-2.41050591187969,-2.47716979262188,68.3282865614742,-3.00900455564815,0.802968585707504,1.10702504131504,-0.782850046546486,-0.565329107342031,energy,0.513452454302732,4.16666666666667
16.5,500,0.355214116934968,9.61051157573286,0.802208236992962,0.846371852011807,-2.4088989016116,-2.47547704883745,68.3366135376868,-3.00933000640767,0.801628472810303,1.10573685860115,-0.781630644889984,-0.564684722565348,energy,0.513452454302732,4.16666666666667
16.502,500,0.353082832132128,9.5990667306856,0.800914000459562,0.84539267996988,-2.40729448506141,-2.47378626339721,68.3449405219391,-3.00965525139756,0.800291309819894,1.10444843817135,-0.780413468872797,-0.564040623492493,energy,0.513452454302732,4.16666666666667
16.504,500,0.350964335038712,9.58761243934847,0.799622416500125,0.844413498718026,-2.40569265698441,-2.47209743631956,68.3532675142144,-3.00998029091594,0.798957124385031,1.10315974274968,-0.77919855048928,-0.563396781234558,energy,0.513452454302732,4.16666666666667
16.506,500,0.34885854892846,9.57614855485451,0.798333514850286,0.843434275581181,-2.40409341207544,-2.47041056768827,68.3615945144959,-3.01030512526206,0.79762594368946,1.1018707359578,-0.777985921242715,-0.562753167681517,energy,0.513452454302732,4.16666666666667
16.508,500,0.34676539753547,9.56467493334973,0.797047324731814,0.842454978706382,-2.40249674496991,-2.46872565765083,68.3699215227669,-3.01062975473637,0.796297794422797,1.10058138231346,-0.77677561211633,-0.562109755449793,energy,0.513452454302732,4.16666666666667
16.51,500,0.344684805051434,9.55319143473985,0.795763874828207,0.841475577039701,-2.40090265024473,-2.46704270641681,68.3782485390106,-3.01095417964041,0.794972702756367,1.09929164722872,-0.775567653549302,-0.561466517838474,energy,0.513452454302732,4.16666666666667
16.512,500,0.342616696122896,9.54169792330537,0.794483193264526,0.840496040306727,-2.39931112241948,-2.46536171425636,68.3865755632102,-3.01127840027685,0.793650694323223,1.09800149700802,-0.774362075416931,-0.560823428792744,energy,0.513452454302732,4.16666666666667
