time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,obstaclex,obstacley
5.416,500,-360,0,0,-30.8071472581592,0,3.72506479437119,18.81854944453,9.93666936415174,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.418,500,-360,0,0,-30.8071472581593,0,3.66345049692835,18.8268504752243,9.93593632905494,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.42,500,-360,0,0,-30.8071472581595,0,3.60183619948551,18.8351507128333,9.93519436768477,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.422,500,-360,0,0,-30.8071472581597,0,3.54022190204267,18.8434501477585,9.93444348089925,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.424,500,-360,0,0,-30.8071472581599,0,3.47860760459983,18.851748770402,9.93368366956674,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.426,500,-360,0,0,-30.80714725816,0,3.41699330715699,18.8600465711673,9.93291493456588,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.428,500,-360,0,0,-30.8071472581602,0,3.35537900971415,18.8683435404584,9.93213727678567,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.43,500,-360,0,0,-30.8071472581603,0,3.2937647122713,18.8766396686806,9.93135069712542,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.432,500,-360,0,0,-30.8071472581605,0,3.23215041482846,18.8849349462401,9.93055519649474,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.434,500,-360,0,0,-30.8071472581606,0,3.17053611738562,18.8932293635438,9.92975077581356,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.436,500,-360,0,0,-30.8071472581608,0,3.10892181994277,18.9015229110001,9.92893743601215,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.438,500,-360,0,0,-30.8071472581609,0,3.04730752249993,18.9098155790179,9.92811517803107,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.44,500,-360,0,0,-30.807147258161,0,2.98569322505709,18.9181073580075,9.92728400282119,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.442,500,-360,0,0,-30.8071472581611,0,2.92407892761424,18.9263982383799,9.92644391134372,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.444,500,-360,0,0,-30.8071472581612,0,2.8624646301714,18.9346882105475,9.92559490457016,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
5.446,500,-360,0,0,-30.8071472581614,0,2.80085033272855,18.9429772649235,9.92473698348231,0,0,0,0,energy,0.513452454302732,4.16666666666667,15.48683,0.7748293
