time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,hat_vm,delta_vm
3.31,600,98.1294222981326,217.473532680851,16.8005331148757,31.0259291434091,112.242113938587,106.847255186949,11.0401327495434,9.17397468829078,13.8139783572042,27.5517107986344,-2.7650070045392,-3.06508103683549,81.5613917785433,2.05380981721093,5.55555555555556,-2.7650070045392,0
3.32,600,95.1855396949895,211.162650657971,10.8607219934494,30.0734599403052,112.41011926598,107.14798977963,11.0191015657001,9.22539558794512,10.717502219494,26.7264665337767,-2.5075861813059E-43,-2.95041626024793,78.6077208273256,2.05380981721093,5.55555555555556,-1.91711585517209,0
3.33,600,92.3299735679667,204.942376899992,10.9759994341967,29.1566226396103,112.518726483487,107.439555999509,10.9979550505421,9.27676916589903,10.6136183313719,25.9239043420103,-0.217641171276121,-2.84823143694125,75.8510465508884,2.05380981721093,5.55555555555556,-0.217641171276121,0
3.34,600,89.5600744228398,198.898356897253,10.218853337765,28.2715391150978,112.628486475376,107.722271384341,10.9766945962413,9.32809569605677,10.084097852264,25.1469323963982,-2.74155246076561E-41,-2.75179140827368,73.2355124918485,2.05380981721093,5.55555555555556,-1.29860983919489,0
3.35,600,86.8732722502093,192.984269290051,12.5121086982179,27.416424180697,112.730675006469,107.99643562002,10.9553220118725,9.37937563611633,11.0643435487268,24.3920620767177,-1.28276862526879,-2.66282314955297,70.899973232,2.05380981721093,5.55555555555556,-1.28276862526879,0
3.36,600,84.2670741409561,187.246313857177,9.61491911879648,26.5889559954251,112.855796090655,108.262325174031,10.9338396096429,9.43060966786827,9.4881276823133,23.660748724484,-3.08131211997335E-43,-2.57758009627694,68.5841605630896,2.05380981721093,5.55555555555556,-0.507028497956874,0
3.37,600,81.7390619732329,181.652245738404,10.5762921729066,25.7879769574378,112.951945279694,108.520204937841,10.9122498523582,9.48179855333669,9.82015350917624,22.9506058517433,-0.616669650970053,-2.49730639979004,66.4619674294129,2.05380981721093,5.55555555555556,-0.616669650970053,0
3.38,600,79.2868901688462,176.229188039514,9.04667741138338,25.0119428467801,113.057708199059,108.770324360719,10.8905554293192,9.53294316814725,8.92737934863142,22.2623985056466,-4.27172395465998E-43,-2.41971315653432,64.4116611080911,2.05380981721093,5.55555555555556,-0.162445748809681,0
3.39,600,76.9082835169468,170.953882696117,9.18265116560224,24.2600207167461,113.148174971151,109.012924562464,10.8687590475004,9.58404441426438,8.86055899910525,21.5944063234202,-0.201001024946507,-2.34569876660213,62.499926263858,2.05380981721093,5.55555555555556,-0.201001024946507,0
3.4,600,74.6010350630094,165.837168586682,8.51201878813919,23.5310984441871,113.240001480754,109.248235541646,10.8468634944027,9.63510324669967,8.39977124074067,20.9466907829234,-1.26219754656243E-42,-2.27410429449563,60.6847455668485,2.05380981721093,5.55555555555556,-0.0509945654209858,0
