time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,thetaError
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.03,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.04,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.06,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.07,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.09999999,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.11,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.14,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.16,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.21,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.22,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.24,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.28,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.29,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.31,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.34,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.35,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.39,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.45,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.46,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.47,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.48,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.49,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.51,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.52,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.53,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.54,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.55,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.56,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.57,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.6,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.61,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.63,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.64,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.65,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.66,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.68,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.69,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.71,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.72,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.73,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.74,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.76,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.78,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.79,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.81,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.82,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.84,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.85,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.86,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
