time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,hat_vm,delta_vm
29.18,600,-4.30593438503368E-09,13.4305510911103,0.117048928956791,0.0117920959771248,340.006316212079,339.535258863848,213.88636696567,-113.885069563661,0.0577527051781094,0.761930841040194,-0.05775270566294,0.750294246817126,3133.62180867829,2.05380981721093,5.4155555586848,0,0
29.19,600,-4.17675635637002E-09,8.52120843294473,-0.0351404762940418,0.271004891694312,340.005874087478,339.537968912705,213.937118922005,-113.90396567432,-0.0173385405689541,0.61344218027003,0.0173385400986685,0.346011015934975,3133.62052573989,2.05380981721093,5.4155555586848,0,0
29.2,600,-4.05145366847965E-09,-12.3160595917849,0.00632327874980759,0.394016914770788,340.003920859984,339.541909081765,213.987884747719,-113.922824492134,0.00311994677342833,-0.498958435921962,-0.00311994722960543,-0.887779470206892,3133.62322170417,2.05380981721093,5.4155555586848,0,0
29.21,600,-3.92991006114198E-09,4.68743537866748,0.0347180223698338,0.0926386858623,340.002402445437,339.542835468602,214.038621772175,-113.941760659095,0.0171300985893838,0.309601552246048,-0.0171300990318756,0.218184487898113,3133.62298046092,2.05380981721093,5.4155555586848,0,0
29.22,600,-3.81201276194293E-09,-9.76658387740031,-0.0105568545558449,0.169183582799391,340.001176347832,339.544527304393,214.0893684057,-113.960671059822,-0.00520882114757157,-0.466362403391465,0.00520882071835453,-0.633314971116524,3133.62389843071,2.05380981721093,5.4155555586848,0,0
29.23,600,-3.69765238164079E-09,-4.65768521250126,-0.0707991586787114,-0.0472732711242515,339.999507490698,339.544054571692,214.140094931555,-113.979635332665,-0.0349327671427744,-0.285543087076615,0.0349327667264339,-0.238893206110829,3133.62377610626,2.05380981721093,5.4155555586848,0,0
29.24,600,-3.58672281267104E-09,-3.92936192822008,-0.0468404490233391,-0.130375355031882,339.997240305338,339.542750818171,214.190815019888,-113.998616815994,-0.0231113834355867,-0.285543087048583,0.0231113830317363,-0.156886985017403,3133.62349149962,2.05380981721093,5.4155555586848,0,0
29.25,600,-3.47912113069599E-09,-3.43967410476378,-0.0307318216618437,-0.186249002709172,339.995216005274,339.540888328185,214.241531229186,-114.017608661198,-0.0151632815628225,-0.285543087021391,0.0151632811710877,-0.101750140188018,3133.62313559081,2.05380981721093,5.4155555586848,0,0
29.26,600,-3.37474749910805E-09,1.10600716788087,0.0927250788003913,-0.223815623878342,339.99335334542,339.538650171996,214.292245138649,-114.036606646795,0.0457511588234398,-0.0481661491000376,-0.0457511592034226,0.172698029830272,3133.62327311397,2.05380981721093,5.4155555586848,0,0
29.27,600,-3.27350507639775E-09,0.609053589707554,0.0927250788119431,-0.167112949569984,339.992723969071,339.536979042538,214.34296589078,-114.055586356307,0.0457511588348393,-0.0481661491000376,-0.0457511592034226,0.116743090727917,3133.62332965882,2.05380981721093,5.4155555586848,0,0
29.28,600,-3.17529992630087E-09,0.274927081225559,0.0927250788231484,-0.128988932719388,339.992091026394,339.53568915324,214.393691127453,-114.074554077158,0.0457511588458968,-0.0481661491000376,-0.0457511592034226,0.0791218132973068,3133.62334936024,2.05380981721093,5.4155555586848,0,0
29.29,600,-3.08004093064105E-09,0.371821662864425,-0.124150662802925,-0.103356267619317,339.99145583473,339.534655590587,214.444419275875,-114.093514009316,-0.0612567474202463,-0.0300638581842466,0.0612567470734463,0.0719294557295761,3133.62337071029,2.05380981721093,5.4155555586848,0,0
29.3,600,-2.98763970478715E-09,0.324921926844788,-0.0808499497680241,-0.0798718693455546,339.98865052192,339.533856871911,214.495149912011,-114.112467284152,-0.0398918930187564,-0.0211168619828924,0.0398918926823604,0.0577017411912264,3133.62338512814,2.05380981721093,5.4155555586848,0,0
29.31,600,-2.8980105156469E-09,1.5286687923715,0.375638817916453,-0.0609929613977957,339.986285085587,339.533246942311,214.545882426417,-114.131415530822,0.18534264405405,0.0559665997452168,-0.185342644380354,0.116155250145131,3133.62343692704,2.05380981721093,5.4155555586848,0,0
29.32,600,-2.81107020212076E-09,1.18416299646292,0.249596425228547,-0.0216846621464293,339.988490546617,339.533030095694,214.596618760755,-114.150353546764,0.123152504941226,0.055966599767187,-0.123152505257741,0.0773653074059156,3133.6234511927,2.05380981721093,5.4155555586848,0,0
29.33,600,-2.72673809794211E-09,0.952534683940914,0.164851880792704,0.00474425468574568,339.98942729124,339.53307753824,214.64735751044,-114.16928509055,0.0813389936697919,0.0559665997884981,-0.0813389939768114,0.0512849073416247,3133.6234486821,2.05380981721093,5.4155555586848,0,0
