time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,velocity,b
0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.02,500,-40.6,0,-4.63248214326465,0,-0.092649640794412,0,0,0,-4.5713938430751,0,0,0,0,2.05380981721093,0
0.3533334,500,-40.6,-62.6607567572182,-4.63248214326465,-0.293515241578358,-1.20444533032736,-0.0148949905223425,0.351874677857871,-0.000419537855960252,-4.5713938430751,-3.65711507446008,0,-3.39822969505651,0.940393854063282,2.05380981721093,3.90625
0.4033985,500,-46.7,-61.3249414057225,-5.32849547020835,-0.444234323544626,-1.23924599589668,-0.0341260964456805,0.547186412927204,-0.000961306198032951,-5.25822887861102,-3.65711507446008,0,-3.24782235334931,1.46283488409844,2.05380981721093,3.90625
0.4298443,500,-47.1,-60.8112195614737,-5.37413568836859,-0.502197188445462,-1.25407906646722,-0.0438818492199092,0.6253109264407,-0.00123639440761755,-5.30326724159698,-3.65711507446008,0,-3.18997937611157,1.6718112961125,2.05380981721093,3.90625
0.4371112,500,-47.6,-60.5586434010263,-5.43118596106889,-0.530695174328448,-1.26206610446674,-0.0491888008445741,0.664373138569654,-0.00138613294806755,-5.35956519532943,-3.65711507446008,0,-3.16154033412199,1.77629950211953,2.05380981721093,3.90625
0.4466438,500,-47.6,-60.3088813531506,-5.43118596106889,-0.558875645921088,-1.27005314246626,-0.0547775571788665,0.703435319083509,-0.00154390348042485,-5.35956519532943,-3.65711507446008,0,-3.13341814969114,1.88078770812656,2.05380981721093,3.90625
0.4665999,500,-47.6,-59.8176745291344,-5.43118596106889,-0.614298157339601,-1.28602721846529,-0.0667879598923411,0.781559579882632,-0.00188326232341506,-5.35956519532943,-3.65711507446008,0,-3.07811027158808,2.08976412014063,2.05380981721093,3.90625
0.4864551,500,-47.6,-59.3373524274858,-5.43118596106889,-0.668492553389566,-1.30200129446433,-0.0798883566796127,0.859683698380619,-0.00225393840424601,-5.35956519532943,-3.65711507446008,0,-3.02402796867751,2.29874053215469,2.05380981721093,3.90625
0.5062947,500,-47.6,-58.867673852083,-5.43118596106889,-0.721486048055334,-1.31797537046336,-0.094054594205883,0.937807664568716,-0.00265543650248032,-5.35956519532943,-3.65711507446008,0,-2.97114408326321,2.50771694416875,2.05380981721093,3.90625
0.5253651,500,-47.6,-58.4084029515034,-5.43118596106889,-0.773305252282681,-1.3339494464624,-0.109263054353559,1.01593146882479,-0.00308729749441721,-5.35956519532943,-3.65711507446008,0,-2.91943205944023,2.71669335618281,2.05380981721093,3.90625
0.5457546,500,-47.6,-57.95930910059,0.443841924701028,-0.823976187341622,-1.29117324491691,-0.125490642362298,1.09405510185564,-0.00354909717071828,-2.46078809545958,-3.65711507446008,-2.89877709986986,-2.86886592975972,2.92323392318786,2.05380981721093,3.90625
0.5656874,500,-47.6,-57.5201667846415,0.336558536577359,-0.873524297893123,-1.19328949168912,-0.142714775231859,1.17217855464344,-0.00404044508601517,-2.51372241930212,-3.65711507446008,-2.84584277602731,-2.81942030218926,3.12381960624946,2.05380981721093,3.90625
0.5819972,500,-47.6,-57.0907554861693,0.231653862308524,-0.921974464766264,-1.09849341460911,-0.16091337038194,1.25030181839587,-0.00456098343970653,-2.56548307020497,-3.65711507446008,-2.79408212512446,-2.7710703473621,3.31987019405325,2.05380981721093,3.90625
0.6130466,500,-47.6,-56.4644138128448,0.0786393294937451,-0.992644143696807,-0.962046433184834,-0.18999127577839,1.36748634078016,-0.00539581774946622,-2.64098143928422,-3.65711507446008,-2.71858375604521,-2.70054683827104,3.60692592868458,2.05380981721093,3.90625
0.6217653,500,-47.6,-66.0202681958124,0.0287667957844793,-1.02073454305784,-0.911408964072524,-0.200198620980817,1.40615711905704,-0.00568694765481135,-2.66558887288961,-4.20658310288881,-2.69397632243982,-3.22702890569503,3.73392929234486,2.05380981721093,3.8671875
