time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity
0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.02,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.3533334,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.4058986,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.4329763,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.4393812,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.4495375,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.4702688,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.4895256,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.5092124,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.5298265,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.5493965,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.5697556,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.5848625,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.606153,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.6149836,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.6298807,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.6449726,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.6601641,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.6751388,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.6877289,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7008727,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.713483,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7261171,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7387729,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7513443,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7640945,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7771795,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7887455,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.7995034,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8116946,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8222601,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8338019,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8439018,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8546922,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8650736,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.875024,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8839812,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.8953612,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9050257,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9153891,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9259623,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9357442,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9462929,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9556413,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9659311,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9772182,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9863535,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
0.9958001,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
1.00637,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
1.015891,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
1.025905,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
1.036231,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0
