time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,thetaError
0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.02,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.3533334,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4046873,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4320813,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4462115,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4528062,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.458167,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4638651,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4701125,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4782878,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4861777,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.4944389,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.503251,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5117857,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.52051,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5293027,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5371498,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5483167,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5572047,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5661191,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5737776,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5804012,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5876386,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.5939977,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6008312,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6070523,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6131411,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6197984,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.625908,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6323748,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6387668,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6451834,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6519536,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.658237,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6646093,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6708828,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6770263,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.683516,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.6901464,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.697078,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.7028773,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.7090183,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.7155253,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.7221394,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
0.7282534,600,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05380981721093,0,0
