time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b
0,600,0,0,0,0,0,0,0.0555555543137921,0,0,0,0,0,0,2.05380981721093
0.02,600,0,0,0,0,0,0,0.166666662941376,0,0,0,0,0,0,2.05380981721093
0.3533334,600,0,0,0,0,0,0,1.99999995529652,0,0,0,0,0,0,2.05380981721093
0.3702512,600,0,0,0,0,0,0,2.1111110639241,0,0,0,0,0,0,2.05380981721093
0.3768287,600,0,0,0,0,0,0,2.1111110639241,0,0,0,0,0,0,2.05380981721093
0.3795207,600,0,0,0,0,0,0,2.1111110639241,0,0,0,0,0,0,2.05380981721093
0.4033428,600,0,0,0,0,0,0,2.27777772686548,0,0,0,0,0,0,2.05380981721093
0.4074811,600,0,0,0,0,0,0,2.27777772686548,0,0,0,0,0,0,2.05380981721093
0.4362462,600,0,0,0,0,0,0,2.44444438980686,0,0,0,0,0,0,2.05380981721093
0.4701349,600,0,0,0,0,0,0,2.66666660706202,0,0,0,0,0,0,2.05380981721093
0.4951249,600,0,0,0,0,0,0,2.77777771568961,0,0,0,0,0,0,2.05380981721093
0.5215082,600,0,0,0,0,0,0,2.94444437863099,0,0,0,0,0,0,2.05380981721093
0.5474495,600,0,0,0,0,0,0,3.05555548725857,0,0,0,0,0,0,2.05380981721093
0.5718811,600,0,0,0,0,0,0,3.22222215019995,0,0,0,0,0,0,2.05380981721093
0.5948166,600,0,0,0,0,0,0,3.33333325882753,0,0,0,0,0,0,2.05380981721093
0.6174073,600,0,0,0,0,0,0,3.44444436745512,0,0,0,0,0,0,2.05380981721093
0.6373962,600,0,0,0,0,0,0,3.5555554760827,0,0,0,0,0,0,2.05380981721093
0.6591563,600,0,0,0,0,0,0,3.66666658471028,0,0,0,0,0,0,2.05380981721093
0.682936,600,0,0,0,0,0,0,3.83333324765166,0,0,0,0,0,0,2.05380981721093
0.6995624,600,0,0,0,0,0,0,3.88888880196545,0,0,0,0,0,0,2.05380981721093
0.7187399,600,0,0,0,0,0,0,3.99999991059304,0,0,0,0,0,0,2.05380981721093
0.7387379,600,0,0,0,0,0,0,4.11111101922062,0,0,0,0,0,0,2.05380981721093
0.7572094,600,0,0,0,0,0,0,4.22222212784821,0,0,0,0,0,0,2.05380981721093
0.7779018,600,0,0,0,0,0,0,4.33333323647579,0,0,0,0,0,0,2.05380981721093
0.7952563,600,0,0,0,0,0,0,4.44444434510338,0,0,0,0,0,0,2.05380981721093
0.8133981,600,0,0,0,0,0,0,4.55555545373096,0,0,0,0,0,0,2.05380981721093
0.8357995,600,0,0,0,0,0,0,4.66666656235854,0,0,0,0,0,0,2.05380981721093
0.8492677,600,0,0,0,0,0,0,4.72222211667234,0,0,0,0,0,0,2.05380981721093
0.8673859,600,0,0,0,0,0,0,4.83333322529992,0,0,0,0,0,0,2.05380981721093
0.8849866,600,0,0,0,0,0,0,4.94444433392751,0,0,0,0,0,0,2.05380981721093
0.9034346,600,0,0,0,0,0,0,5.05555544255509,0,0,0,0,0,0,2.05380981721093
0.9215552,600,0,0,0,0,0,0,5.16666655118267,0,0,0,0,0,0,2.05380981721093
0.9398541,600,0,0,0,0,0,0,5.22222210549647,0,0,0,0,0,0,2.05380981721093
0.9582378,600,0,0,0,0,0,0,5.33333321412405,0,0,0,0,0,0,2.05380981721093
0.9757941,600,0,0,0,0,0,0,5.44444432275164,0,0,0,0,0,0,2.05380981721093
0.9937437,600,0,0,0,0,0,0,5.55555543137922,0,0,0,0,0,0,2.05380981721093
1.011815,600,0,0,0,0,0,0,5.6666665400068,0,0,0,0,0,0,2.05380981721093
1.029956,600,0,0,0,0,0,0,5.7222220943206,0,0,0,0,0,0,2.05380981721093
1.048619,600,0,0,0,0,0,0,5.83333320294818,0,0,0,0,0,0,2.05380981721093
1.066752,600,0,0,0,0,0,0,5.94444431157577,0,0,0,0,0,0,2.05380981721093
1.084793,600,0,0,0,0,0,0,6.05555542020335,0,0,0,0,0,0,2.05380981721093
1.103213,600,0,0,0,0,0,0,6.16666652883093,0,0,0,0,0,0,2.05380981721093
1.122211,600,0,0,0,0,0,0,6.27777763745852,0,0,0,0,0,0,2.05380981721093
1.140692,600,0,0,0,0,0,0,6.3888887460861,0,0,0,0,0,0,2.05380981721093
1.15904,600,0,0,0,0,0,0,6.4444443003999,0,0,0,0,0,0,2.05380981721093
1.177306,600,0,0,0,0,0,0,6.55555540902748,0,0,0,0,0,0,2.05380981721093
1.195699,600,0,0,0,0,0,0,6.66666651765506,0,0,0,0,0,0,2.05380981721093
1.214012,600,0,0,0,0,0,0,6.77777762628265,0,0,0,0,0,0,2.05380981721093
1.232497,600,0,0,0,0,0,0,6.88888873491023,0,0,0,0,0,0,2.05380981721093
