time,RTT,deltam,deltas,omegam,omegas,thetam,thetas,pxs,pys,um,us,vm,vs,energy,b,velocity,hat_vm,delta_vm
10.26,600,277.681982517242,251.04695513653,31.6836656531392,28.5468627643416,216.717413614099,185.851888405638,17.5937784181548,22.2241567971212,31.2658548081825,28.2186382526124,0,0.0482214772862761,736.052002720239,2.05380981721093,5.55555555555556,0.0422031922919587,0
10.27,600,277.681982517242,250.915625793506,31.6836656531392,28.5618475140077,217.034250263549,186.137506874394,17.539337358443,22.2130847317058,31.2658548081825,28.2186382526124,0,0.0334343307317404,736.958318949526,2.05380981721093,5.55555555555556,0.0422031922919587,0
10.28,600,278.465205430984,250.824568676708,31.7730318147674,28.572237180697,217.351086912998,186.423229239815,17.4849527860199,22.2017384593016,31.3540425029026,28.2186382526124,0,0.0231816720347062,737.892243797811,2.05380981721093,5.55555555555556,0.0422031922919587,0
10.29,600,277.681982517242,249.351633037718,31.6836656531392,28.5794408495149,217.668817224044,186.709023641922,17.4306258742411,22.1901192393754,31.2658548081825,28.1392693273643,0,-0.0632959276266796,738.820939801967,2.05380981721093,5.55555555555556,0.0421931598449063,0
10.3,600,277.681982517242,250.933818312539,31.6836656531392,28.5597717376638,217.985653873493,186.994621352915,17.3763563455506,22.1782348853407,31.2658548081825,28.2186382526124,0,0.0354827339213699,739.727256737105,2.05380981721093,5.55555555555556,0.0292546006522549,0
10.31,600,277.681982517242,249.42738120352,31.6836656531392,28.5707979424838,218.302490522943,187.280329325954,17.3221474501011,22.1660769550376,31.2658548081825,28.1392693273643,0,-0.0547669941593618,740.655947706507,2.05380981721093,5.55555555555556,0.0140636620027372,0
10.32,600,277.681982517242,249.576537010582,31.6836656531392,28.5537791835484,218.619327172392,187.565867111407,17.2679987529959,22.1536536617173,31.2658548081825,28.1392693273643,0,-0.0379726607095989,741.584630888406,2.05380981721093,5.55555555555556,0.0202836588316394,0
10.33,600,278.465205430984,249.679954094929,31.7730318147674,28.5419792378206,218.936163821842,187.851286897406,17.2139119238364,22.1409637237118,31.3540425029026,28.1392693273643,0,-0.0263283202501583,742.540921847913,2.05380981721093,5.55555555555556,0.00975103114132025,0
10.34,600,277.681982517242,249.751658264854,31.6836656531392,28.5337977529247,219.253894132888,188.136624868557,17.1598885264424,22.1280064034208,31.2658548081825,28.1392693273643,0,-0.0182547241684219,743.469599486372,2.05380981721093,5.55555555555556,-0.0646711614579914,0
10.35,600,277.681982517242,249.801374305652,31.6836656531392,28.5281251255544,219.570730782337,188.421906113436,17.1059300503977,22.1147813333624,31.2658548081825,28.1392693273643,0,-0.012656901439172,744.398276259642,2.05380981721093,5.55555555555556,0.0403424490068314,0
10.36,600,277.681982517242,249.835844891049,31.6836656531392,28.5241920129604,219.887567431787,188.70714802719,17.0520379332553,22.1012883972469,31.2658548081825,28.1392693273643,0,-0.00877565459564877,745.326952616987,2.05380981721093,5.55555555555556,-0.044839708832551,0
10.37,600,277.681982517242,251.269546294334,31.6836656531392,28.5214649918347,220.204404081236,188.992362670733,16.9982135761323,22.0875276488876,31.2658548081825,28.2186382526124,0,0.0732843306929176,746.233290109968,2.05380981721093,5.55555555555556,-0.0434606212583137,0
10.38,600,277.681982517242,249.660157987039,31.6836656531392,28.5442379845277,220.521240730686,189.277805044199,16.9444601327523,22.073492445294,31.2658548081825,28.1392693273643,0,-0.028557280982298,747.161970159843,2.05380981721093,5.55555555555556,-0.0301333942203975,0
10.39,600,277.681982517242,249.737932645988,31.6836656531392,28.5353638535232,220.838077380135,189.563158676356,16.8907766157055,22.0591921091933,31.2658548081825,28.1392693273643,0,-0.0198001726801742,748.090648092362,2.05380981721093,5.55555555555556,0.0569459053497329,0
10.4,600,277.681982517242,249.791857656506,31.6836656531392,28.5292109804124,221.154914029585,189.848450779783,16.8371645548175,22.0446261714461,31.2658548081825,28.1392693273643,0,-0.0137284371858684,749.019325006997,2.05380981721093,5.55555555555556,-0.0208929697954577,0
10.41,600,278.465205430984,249.829246528391,31.7730318147674,28.5249448897384,221.471750679035,190.133700222304,16.7836254140776,22.0297944478797,31.3540425029026,28.1392693273643,0,-0.00951860322687992,749.97561295362,2.05380981721093,5.55555555555556,-0.03194862532001,0
10.42,600,277.681982517242,249.855170079029,31.6836656531392,28.5219869984719,221.78948099008,190.418920085914,16.7301606111909,22.0146969491664,31.2658548081825,28.1392693273643,0,-0.00659971751803567,750.904289143686,2.05380981721093,5.55555555555556,0.0492804735947153,0
10.43,600,277.681982517242,251.28294540118,31.6836656531392,28.5199361464358,222.10631763953,190.704119441004,16.6767715312842,21.9993338192176,31.2658548081825,28.2186382526124,0,0.074793015287387,751.810627753676,2.05380981721093,5.55555555555556,-0.0477412658517956,0
