time[s],gpsLat[deg],gpsLon[deg],gpsDir[deg],velocity[km/h],yawRate[deg/s],deltav[deg],deltas[deg],vs[-],RTT[ms],accel[0-1],brake[0-1],steering[deg],omegam[deg/s],um[-],thetam[deg],b[-],hmd rot x[deg],hmd rot y[deg],hmd rot z[deg]
0.7061318,34.7748,135.3757,275.94,0,0,-3.9,25.3,5.626,103,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.5106,59.11245,358.2695
0.7199463,34.7748,135.3757,275.94,0,0.01,-3.9,25,5.626,103,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.0062,59.43192,358.7269
0.7303787,34.7748,135.3757,275.94,0,0.01,-3.9,25,5.626,103,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.2616,58.85139,358.4865
0.7417029,34.7748,135.3757,275.94,0,-0.09999999,-3.9,24.9,5.626,103,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.4975,58.31127,357.9324
0.7524306,34.7748,135.3757,275.94,0,-0.09999999,-3.9,24.9,5.626,103,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,352.6168,58.47414,357.2114
0.7624789,34.7748,135.3757,275.94,0,-0.09999999,-3.9,24.9,5.626,64,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,353.246,58.17049,355.9901
0.7738568,34.7748,135.3757,275.94,0,-0.09999999,-3.9,24.9,5.626,80,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,353.8146,58.10636,353.9048
0.7857373,34.7748,135.3757,275.94,0,-0.09999999,-3.9,24.9,5.626,78,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,353.8376,57.91856,352.3429
0.7956036,34.7748,135.3757,275.94,0,0.06,-3.9,26.2,5.62598,78,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,354.5281,57.65773,350.5031
0.8075296,34.7748,135.3757,275.94,0,0.06,-3.9,26.2,5.62598,78,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,356.0975,56.72524,348.8693
0.8136683,34.7748,135.3757,275.94,0,0.06,-3.9,26.2,5.62598,78,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,356.7767,56.12991,348.403
0.8248273,34.7748,135.3757,275.94,0,0.06,-3.9,26.2,5.62598,78,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,358.0634,55.43554,347.5059
0.8360285,34.7748,135.3757,275.94,0,0.06,-3.9,26.2,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,358.9658,54.68729,347.4005
0.8458188,34.7748,135.3757,275.94,0,0,-3.9,24.4,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.8171,53.84361,347.632
0.8577316,34.7748,135.3757,275.94,0,0,-3.9,24.4,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,1.55343,52.68847,348.0357
0.8692315,34.7748,135.3757,275.94,0,0,-3.9,24.4,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,2.627009,51.68148,349.0742
0.8803113,34.7748,135.3757,275.94,0,0,-3.9,24.4,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.334783,50.91643,349.8693
0.8907775,34.7748,135.3757,275.94,0,0,-3.9,24.4,5.62598,57,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.404582,50.26573,351.0979
0.9027036,34.7748,135.3757,275.94,0,0,-3.9,24.4,5.62598,74,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.621989,49.39138,352.3018
0.9136583,34.7748,135.3757,275.94,0,0.02,-3.9,25.1,5.626,71,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.698495,48.09972,353.9711
0.9257181,34.7748,135.3757,275.94,0,0.02,-3.9,25.1,5.626,71,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.613486,46.70615,355.7876
0.9360926,34.7748,135.3757,275.94,0,0.02,-3.9,25.1,5.626,71,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,3.226783,45.44192,357.3005
0.9466993,34.7748,135.3757,275.94,0,0.02,-3.9,24.8,5.626,71,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,2.989748,44.15105,358.6518
0.9577019,34.7748,135.3757,275.94,0,0.02,-3.9,24.8,5.626,71,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,2.671638,43.02076,359.8229
0.9691535,34.7748,135.3757,275.94,0,0.02,-3.9,24.8,5.626,56,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,2.094062,41.92891,0.7553498
0.97949,34.7748,135.3757,275.94,0,0.02,-3.9,24.8,5.626,56,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,1.418438,40.77475,1.636369
0.9911,34.7748,135.3757,275.94,0,0.02,-3.9,24.8,5.626,86,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,0.4699253,38.94329,2.535552
1.002976,34.7748,135.3757,275.94,0,0,-3.9,24.8,5.626,86,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,359.9227,36.91688,3.417772
1.013197,34.7748,135.3757,275.94,0,0,-3.9,24.8,5.626,86,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,359.746,35.06788,3.937992
1.02426,34.7748,135.3757,275.94,0,0,-3.9,24.8,5.626,58,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,359.7336,33.6226,4.313369
1.035961,34.7748,135.3757,275.94,0,0,-3.9,24.8,5.626,58,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,359.7344,32.81717,3.828863
1.047676,34.7748,135.3757,275.94,0,0.03,-3.9,25.1,5.62598,58,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.7823,31.7291,3.490267
1.058144,34.7748,135.3757,275.94,0,0.03,-3.9,25.1,5.62598,58,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.8302,30.28771,3.536233
1.069075,34.7748,135.3757,275.94,0,0.03,-3.9,25.1,5.62598,58,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.8674,28.35165,3.711157
1.081045,34.7748,135.3757,275.94,0,0.03,-3.9,25.1,5.62598,58,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.9092,26.49251,3.792013
1.090945,34.7748,135.3757,275.94,0,0.03,-3.9,25.1,5.62598,58,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.9232,25.08086,3.495529
1.103328,34.7748,135.3757,275.94,0,0.03,-3.9,25.1,5.62598,79,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,0.250914,24.15256,2.899457
1.113343,34.7748,135.3757,275.94,0,0,-3.9,24.7,5.62598,79,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,0.6025128,23.61705,1.898202
1.12554,34.7748,135.3757,275.94,0,0,-3.9,24.7,5.62598,79,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,0.8611475,22.80774,1.042578
1.137117,34.7748,135.3757,275.94,0,0,-3.9,24.7,5.62598,79,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,1.016174,21.80114,0.5290952
1.147484,34.7748,135.3757,275.93,0,-0.06,-3.9,25,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,1.235236,20.74156,0.2954672
1.158208,34.7748,135.3757,275.93,0,-0.06,-3.9,25,5.626,79,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,1.343651,19.82397,0.3234979
1.169589,34.7748,135.3757,275.93,0,-0.06,-3.9,25,5.626,65,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,1.231076,19.21962,0.3456904
1.180347,34.7748,135.3757,275.93,0,-0.06,-3.9,25,5.626,78,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,1.005686,18.70368,0.2370801
1.191218,34.7748,135.3757,275.93,0,0.05,-3.9,25.8,5.626,78,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,0.8156213,18.45593,0.09341804
1.204077,34.7748,135.3757,275.93,0,0.05,-3.9,25.8,5.626,78,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,0.6441671,18.22597,0.1029218
1.213708,34.7748,135.3757,275.93,0,0.05,-3.9,25.8,5.626,78,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,0.5137677,17.96548,0.2280544
1.226298,34.7748,135.3757,275.93,0,0.05,-3.9,25.8,5.626,78,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,0.2252861,17.63407,0.5301107
1.235824,34.7748,135.3757,275.93,0,0.05,-3.9,25.8,5.626,59,0,0,25.3,0.26,6.2511,0.06355557,0.09991784,359.7381,17.39453,0.6789914
1.247024,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.62598,64,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,359.1299,17.26542,0.7378412
1.257898,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.62598,64,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,358.274,17.50535,0.767638
1.269013,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.62598,64,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,357.5306,17.79424,0.8804951
1.280122,34.7748,135.3757,275.93,0,0,-3.9,24.5,5.62598,64,0,0,25.3,0.26,6.25112,0.06355557,0.09991784,356.826,17.89053,1.04773
